maquina_for_name,maquina_loc_name,gov_modelo,gov_dsl,param,valor
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,flag,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Teng,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tsa,1.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tsb,1.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Tfload,0.3
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Kpload,1.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Kiload,3.3
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Ldref,1.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Dm,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Kimw,0.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Aset,99.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Ka,10.0
G5EMA3G2,EDM3 TG2,gov_IEEE_GGOV1,gov_EDM3 TG2,Ta,0.1
G5EMAR3V,EDM3 TV,gov_IEEE_TGOV1,gov_EDM3 ST,Trate,0.0
G5EMAR3V,EDM3 TV,gov_IEEE_TGOV1,gov_EDM3 ST,R,0.05
G5EMAR3V,EDM3 TV,gov_IEEE_TGOV1,gov_EDM3 ST,T1,0.5
G5EMAR3V,EDM3 TV,gov_IEEE_TGOV1,gov_EDM3 ST,T2,1.0
G5EMAR3V,EDM3 TV,gov_IEEE_TGOV1,gov_EDM3 ST,T3,3.0
G5EMAR3V,EDM3 TV,gov_IEEE_TGOV1,gov_EDM3 ST,Dt,0.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Ldref,1.2
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Kturb,1.05
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Wfnl,0.01
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Kpload,0.2
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tfload,20.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tsa,0.5
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tsb,5.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Ka,10.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Ta,0.1
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Kimw,0.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tpelec,2.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Rselect,-1.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Aset,1.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,r,0.044
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,db,0.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Kpgov,5.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Kigov,0.05
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Kdgov,5.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tdgov,0.1
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tact,0.1
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Trate,0.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Dm,0.001
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Flag,0.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Teng,0.0
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tc,0.1
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Tb,0.2
G4Q1SPED,Quisqueya 1 San Pedro,gov_GGOV1,gov_Quisqueya 1 San Pedro,Kiload,0.02
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Ldref,1.2
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Kturb,1.05
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Wfnl,0.01
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Kpload,0.2
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tfload,20.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tsa,0.5
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tsb,5.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Ka,10.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Ta,0.1
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Kimw,0.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tpelec,2.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Rselect,-1.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Aset,1.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,r,0.044
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,db,0.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Kpgov,5.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Kigov,0.05
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Kdgov,5.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tdgov,0.1
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tact,0.1
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Trate,0.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Dm,0.001
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Flag,0.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Teng,0.0
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tc,0.1
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Tb,0.2
G4QUIS12,Quisqueya 1 Grupo 2,gov_GGOV1,gov_Quisqueya 1 G2,Kiload,0.02
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Ldref,1.2
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Kturb,1.05
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Wfnl,0.01
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Kpload,0.2
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tfload,20.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tsa,0.5
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tsb,5.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Ka,10.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Ta,0.1
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Kimw,0.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Tpelec,2.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Rselect,-1.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Aset,1.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,r,0.04
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,db,0.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Kpgov,5.0
G4QUIS21,Quisqueya 2 Grupo 1,gov_GGOV1,gov_Quisqueya 2 G1,Kigov,0.05
