for_name,loc_name,area,P_desp_MW,Pmin_MW,Pmax_MW,num_unidades,sgn_MVA,tiene_gobernador,gov_modelo,estatismo_droop,droop_param,margen_subida_MW,station_controller,ref_slack,outserv
G3LMINA7,Los Mina 7,CENTRAL,108.86750030517578,0.0,324.0,1,145.0,1,gov_IEESGO,,,215.132,138 kV Nodo Piloto Los Mina,0,0
G4SIBA1,SIBA Grupo 1,CENTRAL,0.5699999928474426,0.0,16.700000762939453,2,16.700000762939453,1,pcu_GAST2A,,,16.13,138 kV Nodo Piloto Boca Chica,0,0
G4SIBA2,SIBA Grupo 2,CENTRAL,16.700000762939453,0.0,16.700000762939453,2,16.700000762939453,1,pcu_GAST2A,,,0.0,138 kV Nodo Piloto Boca Chica,0,0
G4SIBA3,SIBA Grupo 3,CENTRAL,1.000000013351432e-10,0.0,16.700000762939453,2,16.700000762939453,1,pcu_GAST2A,,,16.7,138 kV Nodo Piloto Boca Chica,0,1
G4SIBA4,SIBA Grupo 4,CENTRAL,16.700000762939453,0.0,16.700000762939453,2,16.700000762939453,1,pcu_GAST2A,,,0.0,138 kV Nodo Piloto Boca Chica,0,0
G4SIBA6,SIBA Grupo 6,CENTRAL,25.0,0.0,25.0,2,31.25,1,pcu_GAST2A,,,0.0,138 kV Nodo Piloto Boca Chica,0,0
G4SIBA5,SIBA Grupo 5,CENTRAL,16.700000762939453,0.0,16.700000762939453,2,16.700000762939453,1,pcu_GAST2A,,,0.0,138 kV Nodo Piloto Boca Chica,0,0
G3PINAL2,Pinalito 2,NORTE,24.25,0.0,26.668760299682617,1,30.1200008392334,1,gov_HYGOV,0.0381,R,2.419,,0,0
G3PINAL1,Pinalito 1,NORTE,1.000000013351432e-10,0.0,26.668760299682617,1,30.1200008392334,1,gov_HYGOV,0.037,R,26.669,,0,1
G3RBLAN2,Río Blanco 2,NORTE,12.130000114440918,0.0,13.28125,1,15.0,1,gov_HYGOV,0.035,R,1.151,,0,0
G3RBLAN1,Río Blanco 1,NORTE,1.000000013351432e-10,0.0,13.28125,1,15.0,1,gov_HYGOV,0.035,R,13.281,,0,1
G3RINCON,Rincón,NORTE,1.000000013351432e-10,0.0,10.104000091552734,1,12.625,1,gov_HYGOV_MONCION1,0.053,R,10.104,,0,1
G3RJCRUZ,Rosa Julia De La Cruz,NORTE,1.000000013351432e-10,0.0,0.8999999761581421,1,1.0,0,,,,0.9,,0,1
G3ESALTO,El Salto,NORTE,1.000000013351432e-10,0.0,0.7200000286102295,1,0.800000011920929,0,,,,0.72,,0,1
G4LVEGA1,La Vega Grupo 1,NORTE,18.42799949645996,0.0,18.42799949645996,3,23.03499984741211,1,gov_DEGOV1,0.053,Droop,0.0,,0,0
G4LVEGA2,La Vega Grupo 2,NORTE,6.478000164031982,0.0,18.42799949645996,2,23.03499984741211,1,gov_DEGOV1,0.06,Droop,11.95,,0,0
G3AVARG1,Aniana Vargas 1,NORTE,1.000000013351432e-10,0.0,0.299699991941452,1,0.3330000042915344,0,,,,0.3,,0,1
G3AVARG2,Aniana Vargas 2,NORTE,0.10000000149011612,0.0,0.299699991941452,1,0.3330000042915344,0,,,,0.2,,0,0
G3JIMENO,Jimenoa,NORTE,5.820000171661377,0.0,8.819999694824219,1,10.5,1,gov_IEESGO,,,3.0,,0,0
G3HATILL,Hatillo 1,NORTE,7.760000228881836,0.0,8.100000381469727,1,9.600000381469727,1,gov_HYGOV,0.0343,R,0.34,,0,0
G3HATIL2,Hatillo 2,NORTE,1.000000013351432e-10,0.0,10.399999618530273,1,11.664999961853027,1,gov_HYGOV,0.0343,R,10.4,,0,1
G3BDEREC,Brazo Derecho,NORTE,1.000000013351432e-10,0.0,3.0,1,2.9200000762939453,0,,,,3.0,,0,1
