escenario,clase,for_name,loc_name,barra_for_name,P_desp_MW,Q_desp_Mvar,U_consigna_pu,modo_ctrl_av,num_unidades,outserv,ref_slack
P13,sym,G3BAIGU2,Baiguaque 2,WBAI1K,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P13,sym,G3BAIGU1,Baiguaque 1,WBAI1K,0.10000000149011612,0.04843222349882126,1.0,constq,1,0,0
P13,sym,G3TAVER2,Tavera 2,WTAV2K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,sym,G3TAVER1,Tavera 1,WTAV1K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3SFELIG,San Felipe TG,,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3SFV,San Felipe Vapor,WSFEVK,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3PIMEN4,Pimentel 4,WXPI4K,12.085000038146973,0.0,1.0,constv,2,0,0
P13,sym,G3LTORO1,Los Toros 1,WLTO1K,1.000000013351432e-10,6.00007751816456e-11,1.0,constq,1,1,0
P13,sym,G3LTORO2,Los Toros 2,WLTO1K,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P13,sym,G3NNAJAY,Nizao Najayo,WXNNAK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P13,sym,G3LANONE,Los Anones,WXLANK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P13,sym,G3SYEGUA,Sabana Yegua,WSYEGK,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3SABANE,Sabaneta,WSABAK,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3MAGUE2,Magueyal 2,WMAGUK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P13,sym,G3MAGUE1,Magueyal 1,WMAGUK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P13,sym,G3LDAMAS,Las Damas,,0.6499999761581421,0.3148093819618225,1.0,constv,1,0,0
P13,sym,G3DRODR2,Domingo Rodríguez 2,WDRODL,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P13,sym,G3DRODR1,Domingo Rodríguez 1,WDRODL,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P13,sym,G3HTG,Haina TG,WHAIGK,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,sym,G3VALDE2,Valdesia 2,WVAL2K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,sym,G3VALDE1,Valdesia 1,WVAL1K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3LBARIA,Las Barías,WLBARK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P13,sym,G3BCARBO,Barahona Carbón,WBCARK,29.0,0.0,1.0,constv,1,0,0
P13,sym,G3JIGUE2,Jigüey 2,WJIG2K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3JIGUE1,Jigüey 1,WJIG1K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3AGUAC2,Aguacate 2,WAGU2K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,sym,G3AGUAC1,Aguacate 1,WAGU1K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,sym,G4MRIO3,Monte Río Grupo 2,WMRI3K,1.000000013351432e-10,0.0,1.0199999809265137,constv,7,1,0
P13,sym,G4MRIO1,Monte Río Grupo 1,WMRI1K,1.000000013351432e-10,0.0,1.0199999809265137,constv,6,1,0
P13,sym,G3ITABO2,Itabo 2,WITA2K,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3ITABO1,Itabo 1,WITA1K,94.0,0.0,1.0,constv,1,0,0
P13,sym,G3SLORE1,San Lorenzo 1,,1.000000013351432e-10,0.0,1.0,constv,1,1,0
P13,sym,G3PALOM2,Palomino 2,WPLM1K,1.000000013351432e-10,0.0,1.0199999809265137,constv,1,1,0
P13,sym,G3PALOM1,Palomino 1,WPLM2K,1.000000013351432e-10,0.0,1.0199999809265137,constv,1,1,0
P13,sym,G4PAK262,POWERSHIP AZUA KPS26 2,WXPA2K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,3,1,0
P13,sym,G4PAK261,POWERSHIP AZUA KPS26 1,WXPA1K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,3,1,0
P13,sym,G4PAK601,POWERSHIP AZUA KPS60,WXPA3K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,4,1,0
P13,sym,G5PAK6TV,POWERSHIP AZUA TV,WXPA3K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,1,1,0
P13,sym,G3PALENQ,Palenque,WPAQ2K,1.000000013351432e-10,0.0,1.0,constq,4,1,0
P13,sym,G4PAK561,POWERSHIP AZUA KPS56,WXPA4K,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,8,1,0
P13,sym,G3LMINA6,Los Mina 6,WLMI6K,79.4625015258789,0.0,1.0,constv,1,0,0
P13,sym,G5AANDRV,AES Andrés TV,WAANVK,69.19000244140625,0.0,1.0,constv,1,0,0
P13,sym,G5AANDRG,AES Andrés TG,WAANGK,134.30999755859375,0.0,1.0,constv,1,0,0
P13,sym,G3METALD,METALDOM,WMETAK,1.000000013351432e-10,0.0,0.9900000095367432,constv,4,1,0
P13,sym,G3LMINA5,Los Mina 5,WLMI5K,79.4625015258789,0.0,1.0,constv,1,0,0
P13,sym,G4EMAR21,EDM2 Grupo 1,,18.14324951171875,0.0,1.0,constq,3,0,0
P13,sym,G4EMAR22,EDM2 Grupo 2,,0.24674999713897705,0.0,1.0,constq,3,0,0
P13,sym,G4EMAR23,EDM2 TV,,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,sym,G3LMINA7,Los Mina 7,WLMI7K,85.57499694824219,41.44587707519531,1.0,constv,1,0,0
P13,sym,G4SIBA1,SIBA Grupo 1,WXSI1K,9.899999618530273,4.7947893142700195,1.0,constv,2,0,0
P13,sym,G4SIBA2,SIBA Grupo 2,WXSI2K,16.700000762939453,8.08818244934082,1.0,constv,2,0,0
P13,sym,G4SIBA3,SIBA Grupo 3,WXSI3K,1.000000013351432e-10,0.0,1.0,constv,2,1,0
P13,sym,G4SIBA4,SIBA Grupo 4,WXSI4K,16.700000762939453,8.08818244934082,1.0,constv,2,0,0
P13,sym,G4SIBA6,SIBA Grupo 6,WXSI6K,25.0,12.108054161071777,1.0,constv,2,0,0
P13,sym,G4SIBA5,SIBA Grupo 5,WXSI5K,16.700000762939453,8.08818244934082,1.0,constv,2,0,0
P13,sym,G3PINAL2,Pinalito 2,WPIN2K,1.000000013351432e-10,6.00007751816456e-11,1.0490000247955322,constv,1,1,0
P13,sym,G3PINAL1,Pinalito 1,WPIN1K,1.000000013351432e-10,5.933650792933065e-11,1.0490000247955322,constv,1,1,0
P13,sym,G3RBLAN2,Río Blanco 2,WRBLCK,9.5,5.700072765350342,1.0490000247955322,constv,1,0,0
P13,sym,G3RBLAN1,Río Blanco 1,WRBLAK,1.000000013351432e-10,5.933650792933065e-11,1.0490000247955322,constv,1,1,0
P13,sym,G3RINCON,Rincón,WRINCK,1.000000013351432e-10,6.00007751816456e-11,1.0,constv,1,1,0
P13,sym,G3RJCRUZ,Rosa Julia De La Cruz,WRJCRK,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P13,sym,G3ESALTO,El Salto,WESALK,1.000000013351432e-10,4.843220963168804e-11,1.0,constq,1,1,0
P13,sym,G4LVEGA1,La Vega Grupo 1,,1.000000013351432e-10,0.0,1.0,constq,3,1,0
P13,sym,G4LVEGA2,La Vega Grupo 2,,1.000000013351432e-10,0.0,1.0,constv,2,1,0
P13,sym,G3AVARG1,Aniana Vargas 1,WAVA1K,1.000000013351432e-10,3.2868412852549156e-11,1.0,constq,1,1,0
P13,sym,G3AVARG2,Aniana Vargas 2,WAVA1K,0.10000000149011612,0.0328684076666832,1.0,constq,1,0,0
P13,sym,G3JIMENO,Jimenoa,WJIMEK,4.760000228881836,0.0,1.0,constv,1,0,0
P13,sym,G3HATILL,Hatillo 1,WHATIK,4.900000095367432,3.133199453353882,1.0,constq,1,0,0
P13,sym,G3HATIL2,Hatillo 2,,1.000000013351432e-10,6.00007751816456e-11,1.0,constq,1,1,0
P13,sym,G3BDEREC,Brazo Derecho,WBDERK,1.000000013351432e-10,4.843220963168804e-11,1.0,constv,1,1,0
P13,genstat,G3MPSOLA,Monte Plata Solar,,33.099998474121094,0.0,1.0,constq,1,0,0
P13,genstat,G7EMAR31,SA 1 EDM3,WEM31K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,genstat,G7EMAR32,SA 2 EDM3,WEM32K,1.000000013351432e-10,0.0,1.0,constq,1,1,0
P13,genstat,G3PFMPAL,Mata de Palma Solar,WMPALK,1.4895199537277222,0.0,1.0,constq,21,0,0
P13,genstat,G3PFMART,PF Martí,WMARTK,3.2149999141693115,0.0,1.0,constq,8,0,0
P13,genstat,G3PFMARA,PF Maranatha,WMARAK,2.625,0.0,1.0,constq,2,0,0
P13,genstat,G4PFCUM4,PF Cumayasa 4,WXCU4K,4.710000038146973,0.0,1.0,constq,8,0,0
P13,genstat,G3PFCUM2,PF Cumayasa 2,WXCU2K,3.8459999561309814,0.0,1.0,constq,5,0,0
P13,genstat,G3PFCUM1,PF Cumayasa 1,WXCU1K,3.454440116882324,0.0,1.0,constq,9,0,0
P13,genstat,G3ESOCO,El Soco,WXESOK,3.386359930038452,0.0,1.0,constq,11,0,0
P13,genstat,G3PFCOT1,PF Cotoperí 1,WCSO1K,3.0325000286102295,0.0,1.0,constq,8,0,0
P13,genstat,G3PFCOT2,PF Cotoperí 2,WCSO2K,2.9862499237060547,0.0,1.0,constq,8,0,0
P13,genstat,G3PFCOT3,PF Cotoperí 3,WCSO3K,3.016249895095825,0.0,1.0,constq,8,0,0
P13,genstat,G4PFCOA2,PF Coastal G2,WCOA2K,6.557499885559082,0.0,1.0,constq,6,0,0
P13,genstat,G4PFCOA1,PF Coastal G1,WCOA1K,5.6207098960876465,0.0,1.0,constq,7,0,0
P13,genstat,G3PFSAJO,Parque Fotovoltaico SAJOMA,WXPFSK,5.231110095977783,0.0,1.0,constq,9,0,0
P13,genstat,G4PFMSO2,Monte Cristi Solar Grupo 2,,1.4429999589920044,0.0,1.0,constq,12,0,0
P13,genstat,G4PFMSO1,Monte Cristi Solar Grupo 1,,1.453089952468872,0.0,1.0,constq,11,0,0
P13,genstat,G3PEACLA,Agua Clara,WACLAK,0.025200000032782555,0.0,1.0,constq,25,0,0
P13,genstat,G3PEGUAN,Guanillo,WGNLLK,0.11760000139474869,0.0,1.0,constq,25,0,0
P13,genstat,G3PELGUZ,Los Guzmancito,WLGUZK,0.04764999821782112,0.0,1.0,constq,17,0,0
P13,genstat,G3PELGU2,Los Guzmancito 2,WLGU2K,0.06230999901890755,0.0,1.0,constq,13,0,0
P13,genstat,G3PFMATR,Parque Fotovoltaico MATRISOL,WXMATK,2.678179979324341,0.0,1.0,constq,11,0,0
P13,genstat,G3PSESPE,PS Esperanza,WXPS1K,2.92221999168396,0.0,1.0,constq,18,0,0
P13,genstat,,SBX_20260708_161425_e01931_PV,,0.0,0.0,1.0,constq,1,1,0
P13,genstat,,BESS,,2.5,0.0,1.0,constq,1,0,0
P13,genstat,G3SCANOA,Solar Canoa,WSCANK,2.4649999141693115,0.0,1.0,constq,8,0,0
P13,genstat,G3PFLUCI,PF Lucila,WXLUCK,2.7950000762939453,0.0,1.0,constq,2,0,0
P13,genstat,G3LCOCO2,Los Cocos 2,,0.06577000021934509,3.7975775302179215e-11,1.0,constq,26,0,0
P13,genstat,G3QCABRE,Quilvio Cabrera,,0.15199999511241913,5.007656442290731e-11,1.0,constq,5,0,0
P13,genstat,G3JCOCO1,Juancho Los Cocos 1,,0.03884999826550484,7.080901143208251e-11,1.0,constq,26,0,0
P13,genstat,G3PELARI,Larimar,,0.42667001485824585,3.7975775302179215e-11,1.0,constq,15,0,0
P13,genstat,G3PELAR2,Larimar 2,,0.23356999456882477,3.7975775302179215e-11,1.0,constq,14,0,0
P13,genstat,G3PFLNEG,Parque Fotovoltaico Los Negros,WMRI2K,4.233329772949219,0.0,1.0,constq,3,0,0
P13,genstat,G3PFBAYA,Bayasol,WBAYAK,1.9784599542617798,0.0,1.0,constq,13,0,0
P13,genstat,G4PSGIR1,Girasol Grupo 1,,1.7787699699401855,0.0,1.0,constq,12,0,0
P13,genstat,G4PSGIR2,Girasol Grupo 2,,1.7684299945831299,0.0,1.0,constq,16,0,0
P13,genstat,G3SANTAS,Santanasol,WSANTK,1.8646700382232666,0.0,1.0,constq,15,0,0
P13,genstat,G3PFCALA,PF Calabaza 1,WXCA1K,1.4764699935913086,0.0,1.0,constq,17,0,0
P13,genstat,G3PEMAT2,PE Matafongo 2,WMTFNK,0.18164999783039093,0.0,1.0,constq,3,0,0
P13,genstat,G3PEMATA,PE Matafongo,WMTFNK,0.06971000134944916,0.0,1.0,constq,17,0,0
P13,genstat,G3PFPER1,PF Peravia I,WPES1K,3.4600000381469727,0.0,1.0,constq,12,0,0
P13,genstat,G3PFPER2,PF Peravia II,WPES2K,3.423330068588257,0.0,1.0,constq,12,0,0
P13,genstat,G6PEMINA,SA PE Los Mina,WXSALMK,1.000000013351432e-10,0.0,1.0,constq,1,0,0
P13,genstat,G6AANDRE,Sistema Almacenamiento AES Andrés,WXBAAK,1.000000013351432e-10,0.0,1.0,constq,1,0,0
P13,genstat,G3PFWCA2,PF Washington Capital 2,WXWC2K,3.744999885559082,0.0,1.0,constq,8,0,0
P13,genstat,G3PFWCA3,PF Washington Capital 3,WXWC3K,4.12375020980835,0.0,1.0,constq,8,0,0
