escenario,for_name,loc_name,shtype,ncapa,ncapx,qcapn_Mvar_paso,outserv
P09,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P09,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P09,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P09,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P09,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P09,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
P09,ZAHONF-C1,69 kV Capacitor Arroyo Hondo,2,1,1,20.0,0
P09,ZHNVAF-C1,69 kV Capacitor Herrera Nueva,2,1,1,20.0,0
P09,ZHNS1F-C1,69 kV Capacitor Hainamosa,2,1,1,40.0,0
P09,ZPIMEF-C1,69 kV Capacitor Pimentel,2,1,1,9.739999771118164,0
P09,ZABANF-C1,69 kV Capacitor Abanico Per,2,1,1,10.0,0
P09,ZPAYIF-C1,69 kV Capacitor Payita,2,1,1,10.0,0
P09,ZCONSF-C1,69 kV Capacitor Constanza,2,1,1,11.420000076293945,0
P09,WSOSDF-C1,69 kV Sosúa 2 C1,2,1,1,20.0,0
P09,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P10,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P10,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P10,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P10,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P10,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P10,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P10,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
