escenario,for_name,loc_name,ruta,P_MW,Q_Mvar,escala,outserv
P20,ZPIM2K-D1,SSAA Pimentel Grupo 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\SSAA Pimentel Grupo 2.ElmLod,0.4300000071525574,0.18000000715255737,1.0,0
P20,ZPIM1K-D1,SSAA Pimentel Grupo 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\SSAA Pimentel Grupo 1.ElmLod,0.3499999940395355,0.15000000596046448,1.0,0
P20,ZCANAE-D1,Demanda Canabacoa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\Demanda Canabacoa.ElmLod,32.63999938964844,13.020000457763672,1.0,0
P20,ZPP22E-D1,Demanda 1 Puerto Plata 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Puerto Plata 2.ElmSite\Demanda 1 Puerto Plata 2.ElmLod,17.84000015258789,0.2800000011920929,1.0,0
P20,ZLANGK-D1,SSAA López Angostura,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\López Angostura.ElmSite\SSAA López Angostura.ElmLod,0.07999999821186066,0.029999999329447746,1.0,0
P20,ZFALCK-D1,Demanda FALCONDO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\Demanda FALCONDO.ElmLod,0.0,0.0,1.0,1
P20,ZPFALK-D1,Demanda de Procesos FALCONDO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\Demanda de Procesos FALCONDO.ElmLod,0.0,0.0,1.0,1
P20,ZSFEGK-D1,SSAA San Felipe TG,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZSFELE(1).ElmSubstat\SSAA San Felipe TG.ElmLod,0.0,0.0,1.0,1
P20,ZSFEVK-D1,SSAA San Felipe Vapor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\ZSFELE(1).ElmSubstat\SSAA San Felipe Vapor.ElmLod,0.0,0.0,1.0,1
P20,ZPPLAF-D1,Demanda Puerto Plata,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Demanda Puerto Plata.ElmLod,24.079999923706055,8.739999771118164,1.0,0
P20,ZLGALE-D1,Demanda 1 La Gallera,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Demanda 1 La Gallera.ElmLod,26.350000381469727,7.960000038146973,1.0,0
P20,ZSAMAE-D1,Demanda Samaná,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Demanda Samaná.ElmLod,11.399999618530273,4.440000057220459,1.0,0
P20,ZMONTE-D1,Demanda Montecristi,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Demanda Montecristi.ElmLod,21.709999084472656,9.65999984741211,1.0,0
P20,ZVMAOE-D1,Demanda Valverde Mao,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Demanda Valverde Mao.ElmLod,22.420000076293945,8.739999771118164,1.0,0
P20,ZSRODE-D1,Demanda Santiago Rodríguez,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Demanda Santiago Rodríguez.ElmLod,20.690000534057617,7.510000228881836,1.0,0
