escenario,for_name,loc_name,clase,tap_actual,tap_hv,tap_mv,tap_lv,outserv
P01,WBCARE_WBARCK-T1,138/13.8 kV Transformado Barahona Carbón,ElmTr2,-2,,,,0
P01,WBCARE_WBCARF-T1,138/69 kV Transformador Barahona Carbón,ElmTr2,2,,,,0
P01,WJIGUE_WJIG2K-T1,138/13.8 kV Transformador Jigüey 2,ElmTr2,0,,,,0
P01,WJIGBE_WJIG1K-T1,138/13.8 kV Transformador Jigüey 1,ElmTr2,0,,,,0
P01,WAGUBE_WAGU2K-T1,138/13.8 kV Transformador Aguacate 2,ElmTr2,2,,,,0
P01,WAGUAE_WAGU1K-T1,138/13.8 kV Transformador Aguacate 1,ElmTr2,2,,,,0
P01,WMRIOE_WMRI3K-T1,138/13.8 kV Transformador Monte Río G3,ElmTr2,-2,,,,0
P01,WMRIOE_WMRI2K-T1,138/13.8 kV Transformador Monte Río G2,ElmTr2,-2,,,,0
P01,WMRIOE_WMRI1K-T1,138/13.8 kV Transformador Monte Río G1,ElmTr2,-2,,,,0
P01,WITABE_WITA1K-T1,138/13.8 kV Transformador Itabo 1,ElmTr2,-2,,,,0
P01,WITABE_WITA2K-T1,138/13.8 kV Transformador Itabo 2,ElmTr2,-2,,,,0
P01,WITAGE_WSLORK-T1,138/13.8 kV Transformador San Lorenzo,ElmTr2,-2,,,,0
P01,WLCOCE_WLCOCK-T1,138/34.5 kV Transformador 1 Los Cocos,ElmTr2,0,,,,0
P01,WLCOCE_WLCOCK-T2,138/34.5 kV Transformador 2 Los Cocos,ElmTr2,0,,,,0
P01,WLCOCE_WLCOCK-T3,138/34.5 kV Transformador 3 Los Cocos,ElmTr2,0,,,,0
P01,WLCOCE_WLCOCK-T4,138/34.5 kV Transformador 4 Los Cocos,ElmTr2,0,,,,0
P01,WPLM1E_WPLM1K-T1,138/13.8 kV Transformador Palomino 1,ElmTr2,0,,,,0
P01,WPLM2E_WPLM2K-T1,138/13.8 kV Transformador Palomino 2,ElmTr2,0,,,,0
P01,WPAK2E_WXPA1K-T1,154/11 kV Transformador 1 Powership Azua,ElmTr2,-8,,,,0
P01,WPAK2E_WXPA2K-T1,154/11 kV Transformador 2 Powership Azua,ElmTr2,-8,,,,0
P01,WPAK6E_WXPA3K-T1,154/15 kV Transformador 1 Powership Azua,ElmTr2,-6,,,,0
P01,WPALBE_WPAQ2K-T1,138/4.16 kV Transformador 1 Palenque,ElmTr2,-1,,,,0
P01,WPALBE_WPAQ2K-T2,138/4.16 kV Transformador 2 Palenque,ElmTr2,0,,,,0
P01,WCC21E_WCCA2F-T1,138/69 kV Transformado Cruce de Cabral 2,ElmTr2,7,,,,0
P01,WSJU2E_WSJU2F-T1,138/69 kV Transformador San Juan 2,ElmTr2,10,,,,0
P01,WPIZAE_WPIZAF-T1,138/69 kV Transformador 1 Pizarrete,ElmTr2,7,,,,0
P01,WMTFNE_WMTFNK-T1,138/34.5 kV Transformador Matafongo,ElmTr2,0,,,,0
P01,WBAYAE_WBAYAK-T1,138/34.5 kV Transformador Bayasol,ElmTr2,0,,,,0
P01,WGIRAE_WGIRAK-T1,138/34.5 kV Transformador 1 Girasol,ElmTr2,0,,,,0
P01,WGIRAE_WGIRAK-T2,138/34.5 kV Transformador 2 Girasol,ElmTr2,0,,,,0
P01,WSANTE_WSANTK-T1,138/34.5 kV Transformador Santanasol,ElmTr2,0,,,,0
P01,WCALAE_WXCA1K-T1,138/34.5 kV Transformador PF Calabaza 1,ElmTr2,-8,,,,0
