planta,dsl,dsl_ruta,modelo,array,origen,n_valores,modelo_encriptado,legible
Planta_Los Guzmancito 2,QP and QU limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Los Guzmancito.ElmSite\Planta_Los Guzmancito 2.ElmComp\QP and QU limitation model.ElmDsl,QP and QU limitation model,oarray_qminpp,IntMat:qminpp,6,1,1
UNITROL 1000,10_PQ Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\10_PQ Limiter.ElmDsl,pql_PQ Limiter,array_Q_P,param,0,1,0
UNITROL 1000,11_Stator Current Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\11_Stator Current Limiter.ElmDsl,iml_Stator Current Limiter,array_T_Im,param,0,1,0
UNITROL 1000,13_Maximum Exc. Current Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\13_Maximum Exc. Current Limiter.ElmDsl,ieh_IeMax Limiter,array_TIe,param,0,1,0
UNITROL 1000,13_Maximum Exc. Current Limiter,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Planta_Pimental IV.ElmComp\UNITROL 1000.ElmComp\13_Maximum Exc. Current Limiter.ElmDsl,ieh_IeMax Limiter,array_IeVfd,param,0,1,0
Planta_Lucila,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\Planta_Lucila.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_PFP,param,0,1,0
Planta_Lucila,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\Planta_Lucila.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_QU,param,0,1,0
Planta_Lucila,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\Planta_Lucila.ElmComp\Protection.ElmDsl,Protection,array_LVRT,param,0,1,0
Planta_Lucila,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\Lucila.ElmSite\Planta_Lucila.ElmComp\Protection.ElmDsl,Protection,array_HVRT,param,0,1,0
Planta_Aguacate 2_PIPAC,pmu_Aguacate 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Aguacate.ElmSite\Planta_Aguacate 2_PIPAC.ElmComp\pmu_Aguacate 2.ElmDsl,pmu_TrWHydroFrancis,array_ytat,param,0,0,0
Planta_Aguacate 1_PIPAC,pmu_Aguacate 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Aguacate.ElmSite\Planta_Aguacate 1_PIPAC.ElmComp\pmu_Aguacate 1.ElmDsl,pmu_TrWHydroFrancis,array_ytat,param,0,0,0
Planta_Palomino 1_PIPAC,pmu_Palomino 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\Planta_Palomino 1_PIPAC.ElmComp\pmu_Palomino 1.ElmDsl,pmu_TrWHydroFrancis,array_ytat,param,0,0,0
Planta_Palomino 2_PIPAC,pmu_Palomino 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\Planta_Palomino 2_PIPAC.ElmComp\pmu_Palomino 2.ElmDsl,pmu_TrWHydroFrancis,array_ytat,param,0,0,0
BASLER DECS-200,UEmin Lim,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\BASLER DECS-200.ElmComp\UEmin Lim.ElmDsl,uel_Under Excitation Limiter,array_UEL_PQ,param,0,1,0
MAN 18V/51/60DDF,Engine,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\MAN 18V/51/60DDF.ElmComp\Engine.ElmDsl,eng_MAN Diesel Engine_v2,oarray_NRGM,IntMat:NRGM,12,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_Ptable,IntMat:Ptable,20,1,1
MAN 18V/51/60DDF,Governor,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\Planta_POWERSHIP AZUA KPS26 1.ElmComp\MAN 18V/51/60DDF.ElmComp\Governor.ElmDsl,gov_MAN Governor/Actuator_v3,oarray_Itable,IntMat:Itable,20,1,1
