relay_ruta,subrelay,etapa,escenario,MW_deslastrados
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,DESPACHO,EDE 5 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,DESPACHO,EDE 6 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 0 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 0 Start-dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 0 dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 1 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 1 Start-dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 1 dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 2 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 2 Start-dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 2 dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 3 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 3 Start-dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 3 dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 4 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 4 Start-dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 4 dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 5 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 5 Start-dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 5 dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 6 F<,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 6 Start-dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,DESPACHO dF/dt,EDE 6 dF/dt,P01,3.49
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 >f.ElmRelay,EDMAR 1 >f,F>,P01,0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 >f.ElmRelay,EDMAR 1 >f,dFdt,P01,0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 <f.ElmRelay,EDMAR 1 <f,F<,P01,0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 >f.ElmRelay,EDMAR 2 >f,F>,P01,0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 >f.ElmRelay,EDMAR 2 >f,dFdt,P01,0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 <f.ElmRelay,EDMAR 2 <f,F<,P01,0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay,CAPOTILLO,EDE 1 F<,P01,9.92
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay,CAPOTILLO,EDE 2 F<,P01,9.92
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay,CAPOTILLO,EDE 3 F<,P01,9.92
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay,CAPOTILLO,EDE 4 F<,P01,9.92
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay,CAPOTILLO,EDE 5 F<,P01,9.92
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay,CAPOTILLO,EDE 6 F<,P01,9.92
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay,INVIVIENDA B,EDE 1 F<,P01,29.93
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay,INVIVIENDA B,EDE 2 F<,P01,29.93
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay,INVIVIENDA B,EDE 3 F<,P01,29.93
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay,INVIVIENDA B,EDE 4 F<,P01,29.93
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay,INVIVIENDA B,EDE 5 F<,P01,29.93
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay,INVIVIENDA B,EDE 6 F<,P01,29.93
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay,INVIVIENDA,EDE 1 F<,P01,27.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay,INVIVIENDA,EDE 2 F<,P01,27.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay,INVIVIENDA,EDE 3 F<,P01,27.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay,INVIVIENDA,EDE 4 F<,P01,27.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay,INVIVIENDA,EDE 5 F<,P01,27.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay,INVIVIENDA,EDE 6 F<,P01,27.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5.ElmRelay,KILOMETRO 10.5,EDS 1 F<,P01,32.62
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5.ElmRelay,KILOMETRO 10.5,EDS 2 F<,P01,32.62
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5.ElmRelay,KILOMETRO 10.5,EDS 3 F<,P01,32.62
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5.ElmRelay,KILOMETRO 10.5,EDS 4 F<,P01,32.62
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5.ElmRelay,KILOMETRO 10.5,EDS 5 F<,P01,32.62
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5.ElmRelay,KILOMETRO 10.5,EDS 6 F<,P01,32.62
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B.ElmRelay,KILOMETRO 10.5 B,EDS 1 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B.ElmRelay,KILOMETRO 10.5 B,EDS 2 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B.ElmRelay,KILOMETRO 10.5 B,EDS 3 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B.ElmRelay,KILOMETRO 10.5 B,EDS 4 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B.ElmRelay,KILOMETRO 10.5 B,EDS 5 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B.ElmRelay,KILOMETRO 10.5 B,EDS 6 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 0 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 0 Start-dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 0 dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 1 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 1 Start-dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 1 dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 2 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 2 Start-dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 2 dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 3 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 3 Start-dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 3 dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 4 F<,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 4 Start-dF/dt,P01,23.7
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,KILOMETRO 10.5 B dF/dt,EDS 4 dF/dt,P01,23.7
