for_name,loc_name,ruta,clase,tap_actual,outserv,tap_hv,tap_mv,tap_lv
WAGUAE_WAGU1K-T1,138/13.8 kV Transformador Aguacate 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Aguacate.ElmSite\138/13.8 kV Transformador Aguacate 1.ElmTr2,ElmTr2,2,0,,,
WMRIOE_WMRI3K-T1,138/13.8 kV Transformador Monte Río G3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\138/13.8 kV Transformador Monte Río G3.ElmTr2,ElmTr2,-2,0,,,
WMRIOE_WMRI2K-T1,138/13.8 kV Transformador Monte Río G2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\138/13.8 kV Transformador Monte Río G2.ElmTr2,ElmTr2,-2,0,,,
WMRIOE_WMRI1K-T1,138/13.8 kV Transformador Monte Río G1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Monte Río.ElmSite\138/13.8 kV Transformador Monte Río G1.ElmTr2,ElmTr2,-2,0,,,
WITABE_WITA1K-T1,138/13.8 kV Transformador Itabo 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138/13.8 kV Transformador Itabo 1.ElmTr2,ElmTr2,-2,0,,,
WITABE_WITA2K-T1,138/13.8 kV Transformador Itabo 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138/13.8 kV Transformador Itabo 2.ElmTr2,ElmTr2,-2,0,,,
WITAGE_WSLORK-T1,138/13.8 kV Transformador San Lorenzo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo TG.ElmSite\138/13.8 kV Transformador San Lorenzo.ElmTr2,ElmTr2,-2,0,,,
WLCOCE_WLCOCK-T1,138/34.5 kV Transformador 1 Los Cocos,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 1 Los Cocos.ElmTr2,ElmTr2,0,0,,,
WLCOCE_WLCOCK-T2,138/34.5 kV Transformador 2 Los Cocos,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 2 Los Cocos.ElmTr2,ElmTr2,0,0,,,
WLCOCE_WLCOCK-T3,138/34.5 kV Transformador 3 Los Cocos,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 3 Los Cocos.ElmTr2,ElmTr2,0,0,,,
WLCOCE_WLCOCK-T4,138/34.5 kV Transformador 4 Los Cocos,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Los Cocos.ElmSite\138/34.5 kV Transformador 4 Los Cocos.ElmTr2,ElmTr2,0,0,,,
WPLM1E_WPLM1K-T1,138/13.8 kV Transformador Palomino 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\138/13.8 kV Transformador Palomino 1.ElmTr2,ElmTr2,0,0,,,
WPLM2E_WPLM2K-T1,138/13.8 kV Transformador Palomino 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palomino.ElmSite\138/13.8 kV Transformador Palomino 2.ElmTr2,ElmTr2,0,0,,,
WPAK2E_WXPA1K-T1,154/11 kV Transformador 1 Powership Azua,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\154/11 kV Transformador 1 Powership Azua.ElmTr2,ElmTr2,-8,0,,,
WPAK2E_WXPA2K-T1,154/11 kV Transformador 2 Powership Azua,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 26.ElmSite\154/11 kV Transformador 2 Powership Azua.ElmTr2,ElmTr2,-8,0,,,
WPAK6E_WXPA3K-T1,154/15 kV Transformador 1 Powership Azua,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\POWERSHIP AZUA KPS 60.ElmSite\154/15 kV Transformador 1 Powership Azua.ElmTr2,ElmTr2,-6,0,,,
WPALBE_WPAQ2K-T1,138/4.16 kV Transformador 1 Palenque,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\138/4.16 kV Transformador 1 Palenque.ElmTr2,ElmTr2,-1,0,,,
WPALBE_WPAQ2K-T2,138/4.16 kV Transformador 2 Palenque,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Palenque.ElmSite\138/4.16 kV Transformador 2 Palenque.ElmTr2,ElmTr2,2,0,,,
WCC21E_WCCA2F-T1,138/69 kV Transformado Cruce de Cabral 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\138/69 kV Transformado Cruce de Cabral 2.ElmTr2,ElmTr2,6,0,,,
WSJU2E_WSJU2F-T1,138/69 kV Transformador San Juan 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\San Juan 2.ElmSite\138/69 kV Transformador San Juan 2.ElmTr2,ElmTr2,8,0,,,
WPIZAE_WPIZAF-T1,138/69 kV Transformador 1 Pizarrete,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Pizarrete.ElmSite\138/69 kV Transformador 1 Pizarrete.ElmTr2,ElmTr2,8,0,,,
WMTFNE_WMTFNK-T1,138/34.5 kV Transformador Matafongo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\138/34.5 kV Transformador Matafongo.ElmTr2,ElmTr2,0,0,,,
WBAYAE_WBAYAK-T1,138/34.5 kV Transformador Bayasol,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Bayasol.ElmSite\138/34.5 kV Transformador Bayasol.ElmTr2,ElmTr2,0,0,,,
WGIRAE_WGIRAK-T1,138/34.5 kV Transformador 1 Girasol,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\138/34.5 kV Transformador 1 Girasol.ElmTr2,ElmTr2,0,0,,,
WGIRAE_WGIRAK-T2,138/34.5 kV Transformador 2 Girasol,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\138/34.5 kV Transformador 2 Girasol.ElmTr2,ElmTr2,0,0,,,
WSANTE_WSANTK-T1,138/34.5 kV Transformador Santanasol,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\138/34.5 kV Transformador Santanasol.ElmTr2,ElmTr2,0,0,,,
WCALAE_WXCA1K-T1,138/34.5 kV Transformador PF Calabaza 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\138/34.5 kV Transformador PF Calabaza 1.ElmTr2,ElmTr2,-8,0,,,
WKQA1E_WPES1K-T1,138/34.5 kV Transformador Peravia Solar,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138/34.5 kV Transformador Peravia Solar.ElmTr2,ElmTr2,11,0,,,
WKQA1E_WPES2K-T1,138/34.5 kV Transformador Peravia Sola2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\138/34.5 kV Transformador Peravia Sola2.ElmTr2,ElmTr2,11,0,,,
WMETEE_WMETEF-T1,138/69 kV S/E Móvil ETED,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\S/E Móvil ETED.ElmSite\138/69 kV S/E Móvil ETED.ElmTr2,ElmTr2,14,0,,,
