for_name,loc_name,ruta,P_MW,Q_Mvar,escala,outserv
ZCENOF-D1,Demanda CENOVI,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda CENOVI.ElmLod,9.050000190734863,3.2799999713897705,1.0,0
ZBPERF-D1,Demanda Bonao PER,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Bonao PER/Anaiana Vargas.ElmSite\Demanda Bonao PER.ElmLod,19.709999084472656,6.480000019073486,1.0,0
ZBPERF-D2,Demanda 2 Bonao PER,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Bonao PER/Anaiana Vargas.ElmSite\ZBPERF.ElmSubstat\Demanda 2 Bonao PER.ElmLod,18.40999984741211,6.050000190734863,1.0,0
ZAVA1K-D1,SSAA Aniana Vargas,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Bonao PER/Anaiana Vargas.ElmSite\SSAA Aniana Vargas.ElmLod,0.0,0.0,1.0,0
ZBONAF-D1,Demanda Bonao,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Bonao.ElmLod,4.570000171661377,1.0199999809265137,1.0,0
ZJIMEK-D1,SSAA Jimenoa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Jimenoa.ElmSite\SSAA Jimenoa.ElmLod,0.11999999731779099,0.05000000074505806,1.0,0
ZMOCAF-D1,Demanda Moca,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Moca.ElmLod,22.059999465942383,9.329999923706055,1.0,0
ZHJBOF-D1,Demanda Hospital Juan Bosch,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Hospital Juan Bosch.ElmLod,0.5600000023841858,0.33000001311302185,1.0,0
ZJARAF-D1,Demanda Jarabacoa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Jarabacoa.ElmLod,17.1200008392334,7.210000038146973,1.0,0
ZZDRIF-D1,Demanda ZF Dos Ríos,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda ZF Dos Ríos.ElmLod,5.900000095367432,2.509999990463257,1.0,0
ZXINDF-D1,Demanda INDUVECA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda INDUVECA.ElmLod,3.009999990463257,1.4600000381469727,1.0,0
ZTIREF-D1,Demanda Tireo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Tireo.ElmLod,1.899999976158142,0.3799999952316284,1.0,0
ZAHMIF-D1,Demanda Acueducto Hermanas Mirabal,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Acueducto Hermanas Mirabal.ElmLod,0.9700000286102295,0.20000000298023224,1.0,0
ZPBAJF-D1,Demanda Paso Bajito,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Paso Bajito.ElmLod,0.7699999809265137,0.1899999976158142,1.0,0
ZHATIK-D1,SSAA Hatillo 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Hatillo.ElmSite\SSAA Hatillo 1.ElmLod,0.1599999964237213,0.07000000029802322,1.0,0
ZHAT2K-D1,SSAA Hatillo 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Hatillo.ElmSite\SSAA Hatillo 2.ElmLod,0.029999999329447746,0.019999999552965164,1.0,0
ZPGARF-D1,Demanda Pedro García,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Pedro García.ElmLod,1.4500000476837158,0.47999998927116394,1.0,0
ZBDERK-D1,SSAA Brazo Derecho,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Brazo Derecho.ElmSite\SSAA Brazo Derecho.ElmLod,0.0,0.0,1.0,1
ZABISF-D1,Demanda Arturo Bisonó,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Arturo Bisonó.ElmLod,0.75,0.3199999928474426,1.0,0
ZCORMF-D1,Demanda CORMIDOM,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda CORMIDOM.ElmLod,6.320000171661377,1.2799999713897705,1.0,0
ZIDALF-D1,69 kV INDAL D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV INDAL D1.ElmLod,0.41999998688697815,0.18000000715255737,1.0,0
ZLUPEF-D1,Demanda Luperón,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Luperón.ElmLod,6.329999923706055,2.2699999809265137,1.0,0
ZFANTF-D1,Demanda Fantino,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Fantino.ElmLod,5.769999980926514,1.3700000047683716,1.0,0
ZCCIBF-D1,Demanda Cementos Cibao,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Cementos Cibao.ElmLod,12.0,0.0,1.0,0
ZTROQF-D1,Demanda Troquelados Dominicanos,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda Troquelados Dominicanos.ElmLod,1.6799999475479126,0.38999998569488525,1.0,0
ZLPENF-D1,Demanda La Penda,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda La Penda.ElmLod,18.649999618530273,5.480000019073486,1.0,0
ZECHIF-D2,Demanda 2 El Chivo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda 2 El Chivo.ElmLod,16.530000686645508,6.0,1.0,0
ZCZFSF-D1,Demanda 1 Corporación ZF Santiago,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda 1 Corporación ZF Santiago.ElmLod,3.4200000762939453,1.2999999523162842,1.0,0
ZCZFSF-D2,Demanda 2 Corporación ZF Santiago,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda 2 Corporación ZF Santiago.ElmLod,5.630000114440918,2.140000104904175,1.0,0
ZCODAF-D2,Demanda 2 CODAL,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda 2 CODAL.ElmLod,0.8799999952316284,0.3199999928474426,1.0,0
ZCOR2F-D1,Demanda CORMIDOM 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Demanda CORMIDOM 2.ElmLod,0.0,0.0,1.0,1
ZPSCEN-D1,69 kV Plaza Santiago Center D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Plaza Santiago Center D1.ElmLod,0.44999998807907104,0.1899999976158142,1.0,0
WRARRF-D1,69 kV Rancho Arriba D1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Rancho Arriba D1.ElmLod,0.0,0.0,1.0,0
