clase,for_name,loc_name,barra_for_name,sgn_MVA,cosn,P_desp_MW,Q_desp_Mvar,P_actual_MW,Q_actual_Mvar,Qmin_actual_Mvar,Qmax_actual_Mvar,q_min_pu,q_max_pu,curva_capacidad,curva_tiene_puntos,av_mode,usetp_pu,ngnum,outserv
sym,G4QUIS12,Quisqueya 1 Grupo 2,,21.344999313354492,0.800000011920929,17.076000213623047,0.0,67.99999965739615,15.377813386094559,-6.404000282287598,13.0,-1.0,1.0,,,constv,1.0,4,0
sym,G4QUIS13,Quisqueya 1 Grupo 3,,21.344999313354492,0.800000011920929,17.076000213623047,0.0,67.99999965735991,15.377813385918763,-6.404000282287598,13.0,-1.0,1.0,,,constv,1.0,4,0
sym,G4Q1SPED,Quisqueya 1 San Pedro,,21.344999313354492,0.800000011920929,16.487499237060547,0.0,67.9999996584827,-2.5604162416925647e-06,-6.404000282287598,13.0,-1.0,1.0,,,constv,1.0,4,0
sym,G5QUISQ1,Quisqueya 1 TV,,25.413000106811523,0.800000011920929,8.892000198364258,0.0,8.892000198026306,4.577142021380693,-10.0,15.247800827026367,-1.0,1.0,,,constv,1.0,1,0
sym,G4QUIS21,Quisqueya 2 Grupo 1,,21.344999313354492,0.800000011920929,17.076000213623047,0.0,67.99999965740014,15.377813386099305,-6.404000282287598,13.0,-1.0,1.0,QUISQUEYA2,1,constv,1.0,4,0
sym,G4QUIS22,Quisqueya 2 Grupo 2,,21.344999313354492,0.800000011920929,17.076000213623047,0.0,67.99999965740012,15.377813386099316,-6.404000282287598,13.0,-1.0,1.0,QUISQUEYA2,1,constv,1.0,4,0
sym,G4QUIS23,Quisqueya 2 Grupo 3,,21.344999313354492,0.800000011920929,11.267999649047852,0.0,52.422304778617814,15.377813386526846,-6.404000282287598,13.0,-1.0,1.0,QUISQUEYA2,1,constv,1.0,4,0
sym,G5QUISQ2,Quisqueya 2 TV,,25.413000106811523,0.800000011920929,1.000000013351432e-10,0.0,,,-25.413000106811523,25.413000106811523,-1.0,1.0,Q3QUISQ2,0,constq,1.0,1,1
sym,G3BERSAL,Bersal,,7.875,0.800000011920929,1.909999966621399,0.0,14.990306050337232,3.5305106163228057,-0.9806973934173584,0.9806973934173584,-1.0,1.0,,,constq,1.0,4,0
sym,G4LOPPL1,Los Orígenes Power Plant Grupo 1,WLORIK,10.548999786376953,0.800000011920929,2.130000114440918,0.0,13.74030652717212,7.064370017513008,-6.334403991699219,6.334403991699219,-1.0,1.0,,,constq,1.0,3,0
sym,G4LOPPL2,Los Orígenes Power Plant Grupo 2,WLORIK,21.344999313354492,0.800000011920929,17.18000030517578,0.0,33.99999982965658,9.529432567132055,-21.344999313354492,21.344999313354492,-1.0,1.0,LOPP2,1,constv,1.0490000247955322,2,0
sym,G3CESPM1,CESPM 1,WCES1K,118.0,0.8500000238418579,87.30000305175781,0.0,90.00000009852418,26.34043286705181,-47.0,61.999996185302734,-1.0,1.0,,,constv,1.0199999809265137,1,0
sym,G3CESPM2,CESPM 2,WCES2K,118.0,0.8500000238418579,87.30000305175781,0.0,90.00000009852418,26.34043286705181,-47.0,61.999996185302734,-1.0,1.0,,,constv,1.0199999809265137,1,0
sym,G3CESPM3,CESPM 3,WCES3K,118.0,0.8500000238418579,87.30000305175781,0.0,87.30000305175909,26.340432867051824,-47.0,61.999996185302734,-1.0,1.0,,,constv,1.0,1,0
sym,G3ENE4TG,ENERGAS 4 TG,WXEN4K,103.5999984741211,0.8500000238418579,40.0,0.0,40.00000000000042,17.215934542876003,-34.0,58.0,-1.0,1.0,,,constv,1.0199999809265137,1,0
sym,G3ENE4TV,ENERGAS 4 TV,WXEV4K,55.058998107910156,0.8500000238418579,1.000000013351432e-10,0.0,,,-18.726999282836914,29.003999710083008,-1.0,1.0,,,constv,1.0199999809265137,1,1
sym,G3SPBIOE,San Pedro Bio-Energy,,34.70000076293945,0.8999999761581421,30.0,14.529670715332031,30.00000000000035,16.55189895629902,-10.062999725341797,18.39099884033203,-1.0,1.0,,,constv,1.0499999523162842,1,0
sym,G4SESTE1,Sultana del Este Grupo 1,WSES1K,21.344999313354492,0.800000011920929,14.5,0.0,50.85030618385215,14.294148424946073,-6.404000282287598,13.0,-1.0,1.0,,,constv,1.0,3,0
sym,G4SESTE2,Sultana del Este Grupo 2,WSES2K,21.344999313354492,0.800000011920929,1.000000013351432e-10,0.0,,,-6.404000282287598,13.0,-1.0,1.0,,,constv,1.0,4,1
sym,G4SESTE3,Sultana del Este Grupo 3,WSES3K,21.344999313354492,0.800000011920929,1.000000013351432e-10,6.00007751816456e-11,,,-6.404000282287598,13.0,-1.0,1.0,,,constv,1.0,3,1
sym,G3LANGOS,López Angostura,WLANGK,23.0,0.800000011920929,4.0,0.0,6.000000303983693,12.005999279022236,-13.339999198913574,13.339999198913574,-1.0,1.0,,,constv,1.0,1,0
sym,G3CEMON1,Contra Embalse Monción 1,WCEMOK,1.7999999523162842,0.800000011920929,0.75,0.36324170231819153,0.7499999999999999,0.36324170231819153,-0.25200000405311584,0.972000002861023,-1.0,1.0,,,constq,1.0,1,0
sym,G3CEMON2,Contra Embalse Monción 2,WCEMOK,1.7999999523162842,0.800000011920929,0.75,0.36324170231819153,0.7499999999999999,0.36324170231819153,-0.25200000405311584,0.972000002861023,-1.0,1.0,,,constq,1.0,1,0
sym,G3MONCI1,Monción 1,WMONCK,30.0,0.800000011920929,19.399999618530273,0.0,22.99999986588952,7.83465877047985,-13.0,19.0,-1.0,1.0,,,constq,1.0,1,0
sym,G3MONCI2,Monción 2,WMONCK,30.0,0.800000011920929,22.309999465942383,0.0,24.000000357627847,7.834658770479853,-13.0,19.0,-1.0,1.0,,,constv,1.0,1,0
sym,G3PIMEN1,Pimentel 1,,9.821000099182129,0.800000011920929,3.055000066757202,0.0,19.570306450890424,7.8497950399156595,-3.200000047683716,5.700000762939453,-1.0,1.0,,,constv,1.0,4,0
sym,G3PIMEN2,Pimentel 2,,8.711999893188477,0.800000011920929,3.944999933242798,0.0,23.13030591683379,6.963385893363117,-3.0999996662139893,7.34999942779541,-1.0,1.0,,,constv,1.0,4,0
sym,G3PIMEN3,Pimentel 3,WPIM3K,21.344999313354492,0.800000011920929,8.526670455932617,0.0,32.9303175516649,12.795580622150819,-10.0,12.5,-1.0,1.0,,,constq,1.0,3,0
sym,G3BAIGU1,Baiguaque 1,WBAI1K,0.8199999928474426,0.800000011920929,0.10000000149011612,0.04843222349882126,0.10000000149011615,0.04843222349882125,-0.11479999870061874,0.44280001521110535,-1.0,1.0,,,constq,1.0,1,0
sym,G3BAIGU2,Baiguaque 2,WBAI1K,0.8199999928474426,0.800000011920929,1.000000013351432e-10,3.2868412852549156e-11,,,-0.11479999870061874,0.44280001521110535,-1.0,1.0,,,constq,1.0,1,1
sym,G3TAVER1,Tavera 1,WTAV1K,60.0,0.800000011920929,1.000000013351432e-10,0.0,,,-8.399999618530273,32.400001525878906,-1.0,1.0,,,constv,1.0,1,1
sym,G3TAVER2,Tavera 2,WTAV2K,60.0,0.800000011920929,45.099998474121094,0.0,48.00000000000005,29.160001373291074,-8.399999618530273,32.400001525878906,-1.0,1.0,,,constq,1.0,1,0
sym,G3PIMEN4,Pimentel 4,WXPI4K,22.665000915527344,0.800000011920929,17.55500030517578,0.0,36.200000762951824,9.057917216591854,-9.949999809265137,13.5,-1.0,1.0,,,constv,1.0,2,0
sym,G3SFELIG,San Felipe TG,,101.91999816894531,0.8700000047683716,1.000000013351432e-10,0.0,,,-32.000003814697266,51.000003814697266,-1.0,1.0,,,constv,1.0,1,1
sym,G3SFV,San Felipe Vapor,WSFEVK,143.3699951171875,0.8700000047683716,1.000000013351432e-10,0.0,,,-46.000003814697266,71.00000762939453,-1.0,1.0,,,constv,1.0,1,1
sym,G3DRODR1,Domingo Rodríguez 1,WDRODL,3.0,0.800000011920929,1.000000013351432e-10,3.2868412852549156e-11,,,-0.42000001668930054,1.6200001239776611,-1.0,1.0,,,constq,1.0,1,1
sym,G3DRODR2,Domingo Rodríguez 2,WDRODL,3.0,0.800000011920929,1.000000013351432e-10,3.2868412852549156e-11,,,-0.42000001668930054,1.6200001239776611,-1.0,1.0,,,constq,1.0,1,1
sym,G3LDAMAS,Las Damas,,8.333000183105469,0.8999999761581421,1.840000033378601,0.8911530375480652,7.49969996612074,1.4623890863525306,-8.333000183105469,3.269036054611206,-1.0,1.0,,,constv,1.0,1,0
sym,G3LTORO1,Los Toros 1,WLTO1K,5.25,0.8999999761581421,1.000000013351432e-10,6.00007751816456e-11,,,-1.627500057220459,2.2049999237060547,-1.0,1.0,,,constq,1.0,1,1
sym,G3LTORO2,Los Toros 2,WLTO1K,5.25,0.8999999761581421,1.000000013351432e-10,3.2868412852549156e-11,,,-1.627500057220459,2.2049999237060547,-1.0,1.0,,,constq,1.0,1,1
sym,G3MAGUE1,Magueyal 1,WMAGUK,1.6799999475479126,0.8999999761581421,1.000000013351432e-10,4.843220963168804e-11,,,-0.7224000096321106,0.7299999594688416,-1.0,1.0,,,constq,1.0,1,1
sym,G3MAGUE2,Magueyal 2,WMAGUK,1.6799999475479126,0.8999999761581421,1.000000013351432e-10,4.843220963168804e-11,,,-0.7224000096321106,0.7299999594688416,-1.0,1.0,,,constq,1.0,1,1
sym,G3SYEGUA,Sabana Yegua,WSYEGK,16.0,0.800000011920929,1.000000013351432e-10,0.0,,,-10.5600004196167,8.640000343322754,-1.0,1.0,,,constv,1.0,1,1
sym,G3SABANE,Sabaneta,WSABAK,7.949999809265137,0.800000011920929,1.000000013351432e-10,0.0,,,-4.928999900817871,4.610999584197998,-1.0,1.0,,,constv,1.0,1,1
sym,G3LANONE,Los Anones,WXLANK,0.1289999932050705,0.8999999761581421,1.000000013351432e-10,4.843220963168804e-11,,,-0.018059998750686646,0.0696600005030632,-1.0,1.0,,,constq,1.0,1,1
sym,G3NNAJAY,Nizao Najayo,WXNNAK,0.38999998569488525,0.8999999761581421,1.000000013351432e-10,4.843220963168804e-11,,,-0.05459999665617943,0.21060000360012054,-1.0,1.0,,,constq,1.0,1,1
sym,G3AGUAC1,Aguacate 1,WAGU1K,35.29399871826172,0.800000011920929,25.0,0.0,28.00000053659094,12.272890278451047,-22.75,17.549999237060547,-1.0,1.0,,,constq,1.0,1,0
sym,G3AGUAC2,Aguacate 2,WAGU2K,35.29399871826172,0.800000011920929,27.15999984741211,0.0,28.000000536590935,12.272890278451047,-22.75,17.549999237060547,-1.0,1.0,,,constq,1.0,1,0
sym,G3BCARBO,Barahona Carbón,WBCARK,65.0,0.8500000238418579,50.0,0.0,50.000000000000156,22.466546936826372,-26.649999618530273,34.24032211303711,-1.0,1.0,,,constv,1.0,1,0
sym,G3HTG,Haina TG,WHAIGK,118.0,0.8500000238418579,1.000000013351432e-10,0.0,,,-44.999996185302734,64.0,-1.0,1.0,,,constq,1.0,1,1
sym,G3ITABO1,Itabo 1,WITA1K,150.60000610351562,0.8500000238418579,120.0,0.0,119.9999983408573,70.48080368041994,-72.28800201416016,78.31200408935547,-1.0,1.0,,,constv,1.0,1,0
sym,G3ITABO2,Itabo 2,WITA2K,155.3000030517578,0.8500000238418579,1.000000013351432e-10,0.0,,,-62.0,74.99999237060547,-1.0,1.0,,,constv,1.0,1,1
sym,G3SLORE1,San Lorenzo 1,,53.4119987487793,0.800000011920929,1.000000013351432e-10,0.0,,,-1.0,1.0,-1.0,1.0,,,constv,1.0,1,1
sym,G3JIGUE1,Jigüey 1,WJIG1K,61.25,0.800000011920929,1.000000013351432e-10,0.0,,,-36.75,36.75,-1.0,1.0,,,constv,1.0,1,1
sym,G3JIGUE2,Jigüey 2,WJIG2K,61.25,0.800000011920929,37.349998474121094,0.0,37.99999997019762,21.298650106375643,-36.75,36.75,-1.0,1.0,,,constv,1.0,1,0
sym,G4MRIO1,Monte Río Grupo 1,WMRI1K,9.758000373840332,0.800000011920929,7.806399822235107,0.0,46.83839797973661,-2.049180029217723e-06,-3.415300130844116,5.854800224304199,-1.0,1.0,,,constv,1.0199999809265137,6,0
sym,G4MRIO3,Monte Río Grupo 2,WMRI3K,9.758000373840332,0.800000011920929,5.764510154724121,0.0,47.701876313246444,-2.3906900068482173e-06,-3.415300130844116,5.854800224304199,-1.0,1.0,,,constv,1.0199999809265137,7,0
sym,G4PAK261,POWERSHIP AZUA KPS26 1,WXPA1K,21.724000930786133,0.8500000238418579,18.164730072021484,8.797582626342773,54.49419021606431,10.393314715951966,-9.905287742614746,12.117328643798828,-0.9605122804641724,0.9605122804641724,Leistungsdiagramm,1,constv,1.0,3,0
sym,G4PAK262,POWERSHIP AZUA KPS26 2,WXPA2K,21.724000930786133,0.8500000238418579,16.75527000427246,8.114946365356445,54.49419021606431,8.345405932992978,-9.905287742614746,12.117328643798828,-0.9605122804641724,0.9605122804641724,Leistungsdiagramm,1,constv,1.0,3,0
sym,G4PAK601,POWERSHIP AZUA KPS60,WXPA3K,21.722999572753906,0.8500000238418579,18.464550018310547,8.942789077758789,73.85820007324202,14.439562700113147,-10.999493598937988,13.299386978149414,-0.9605122804641724,0.9605122804641724,Leistungsdiagramm,1,constv,1.0,4,0
sym,G5PAK6TV,POWERSHIP AZUA TV,WXPA3K,7.059000015258789,0.8500000238418579,1.4817999601364136,0.7176684737205505,6.000000000000016,-4.469999894674004e-07,-4.46999979019165,5.1529998779296875,-0.9605122804641724,0.9605122804641724,,,constv,1.0,1,0
sym,G3PALENQ,Palenque,WPAQ2K,8.057999610900879,0.800000011920929,6.0,2.9059336185455322,24.0,13.924223327636724,-3.5991063117980957,3.867839813232422,-1.0,1.0,,,constv,1.0499999523162842,4,0
sym,G3PALOM1,Palomino 1,WPLM2K,48.0,0.8500000238418579,1.000000013351432e-10,0.0,,,-23.03999900817871,23.03999900817871,-1.0,1.0,,,constv,1.0199999809265137,1,1
sym,G3PALOM2,Palomino 2,WPLM1K,48.0,0.8500000238418579,35.0,0.0,35.000000000000114,-2.3039998975349363e-06,-23.03999900817871,23.03999900817871,-1.0,1.0,,,constv,1.0199999809265137,1,0
sym,G3LBARIA,Las Barías,WLBARK,1.0,0.8999999761581421,1.000000013351432e-10,4.843220963168804e-11,,,-15.600000381469727,14.222999572753906,-1.0,1.0,,,constq,1.0,1,1
sym,G3VALDE1,Valdesia 1,WVAL1K,30.0,0.8500000238418579,1.000000013351432e-10,0.0,,,-15.59999942779541,14.222999572753906,-1.0,1.0,,,constv,1.0,1,1
sym,G3VALDE2,Valdesia 2,WVAL2K,30.0,0.8500000238418579,1.000000013351432e-10,0.0,,,-15.59999942779541,14.222999572753906,-1.0,1.0,,,constq,1.0,1,1
sym,G4PAK561,POWERSHIP AZUA KPS56,WXPA4K,8.579999923706055,0.949999988079071,8.125,3.93511700630188,64.99999798648508,29.587556513728277,-8.579999923706055,8.579999923706055,-1.0,1.0,,,constv,1.0,8,0
sym,G5AANDRG,AES Andrés TG,WAANGK,218.6699981689453,0.8999999761581421,195.69000244140625,0.0,189.99999880017432,18.5874698147651,-70.0,94.0,-0.2972516119480133,0.4344446063041687,,,constv,1.0,1,0
sym,G5AANDRV,AES Andrés TV,WAANVK,134.8000030517578,0.8999999761581421,100.80999755859375,0.0,108.16030374244532,11.458320797268158,-53.92000198364258,59.3120002746582,-0.39985159039497375,0.43991100788116455,,,constv,1.0,1,0
sym,G4EMAR21,EDM2 Grupo 1,,21.344999313354492,0.8500000238418579,18.14324951171875,0.0,51.00000118601247,3.552713678800501e-15,-10.0,12.5,-1.0,1.0,,,constq,1.0,3,0
sym,G4EMAR22,EDM2 Grupo 2,,21.344999313354492,0.8500000238418579,16.35342025756836,0.0,51.00000118601247,3.552713678800501e-15,-10.0,12.5,-1.0,1.0,,,constq,1.0,3,0
sym,G4EMAR23,EDM2 TV,,11.0,0.800000011920929,1.000000013351432e-10,0.0,,,-1.0,1.0,-1.0,1.0,,,constq,1.0,1,1
sym,G3LMINA5,Los Mina 5,WLMI5K,153.75,0.800000011920929,101.09124755859375,0.0,105.00000000000003,74.72250137329107,-72.0,83.0250015258789,-1.0,1.0,,,constv,1.0,1,0
sym,G3LMINA6,Los Mina 6,WLMI6K,153.75,0.800000011920929,101.09124755859375,0.0,105.00000000000003,74.72250137329105,-21.524999618530273,83.0250015258789,-1.0,1.0,,,constv,1.0,1,0
sym,G3LMINA7,Los Mina 7,WLMI7K,145.0,0.8500000238418579,108.86750030517578,52.72693634033203,105.00000352631602,76.50000000000001,-70.0,85.0,-1.0,1.0,,,constv,1.0,1,0
sym,G3METALD,METALDOM,WMETAK,15.0,0.800000011920929,9.729999542236328,0.0,39.99999964237212,-9.599999390985658e-07,-2.3999998569488525,8.100000381469727,-1.0,1.0,,,constv,0.9900000095367432,4,0
sym,G4SIBA1,SIBA Grupo 1,WXSI1K,16.700000762939453,0.9100000262260437,0.5699999928474426,0.27606356143951416,8.490306169545851,-1.9371721831085154e-06,-9.685999870300293,10.020000457763672,-1.0,1.0,,,constv,1.0,2,0
sym,G4SIBA2,SIBA Grupo 2,WXSI2K,16.700000762939453,0.9100000262260437,16.700000762939453,8.08818244934082,30.394002264499935,-1.9371999826489628e-06,-9.685999870300293,10.020000457763672,-1.0,1.0,,,constv,1.0,2,0
sym,G4SIBA3,SIBA Grupo 3,WXSI3K,16.700000762939453,0.9100000262260437,1.000000013351432e-10,0.0,,,-9.685999870300293,10.020000457763672,-1.0,1.0,,,constv,1.0,2,1
sym,G4SIBA4,SIBA Grupo 4,WXSI4K,16.700000762939453,0.9100000262260437,16.700000762939453,8.08818244934082,30.394002264499935,-1.9371999826489628e-06,-9.685999870300293,10.020000457763672,-1.0,1.0,,,constv,1.0,2,0
sym,G4SIBA5,SIBA Grupo 5,WXSI5K,16.700000762939453,0.9100000262260437,16.700000762939453,8.08818244934082,30.260000082046034,-1.9371999826489628e-06,-9.685999870300293,10.020000457763672,-1.0,1.0,,,constv,1.0,2,0
sym,G4SIBA6,SIBA Grupo 6,WXSI6K,31.25,0.800000011920929,25.0,12.108054161071777,40.0000011920932,-2.8125000106626885e-06,-14.0625,18.75,-1.0,1.0,,,constv,1.0,2,0
sym,G3AVARG1,Aniana Vargas 1,WAVA1K,0.3330000042915344,0.8999999761581421,1.000000013351432e-10,3.2868412852549156e-11,,,-0.046620000153779984,0.1798200160264969,-1.0,1.0,,,constq,1.0,1,1
sym,G3AVARG2,Aniana Vargas 2,WAVA1K,0.3330000042915344,0.8999999761581421,0.10000000149011612,0.0328684076666832,0.10000000149011612,0.03286840766668321,-0.046620000153779984,0.1798200160264969,-1.0,1.0,,,constq,1.0,1,0
sym,G3BDEREC,Brazo Derecho,WBDERK,2.9200000762939453,0.8999999761581421,1.000000013351432e-10,4.843220963168804e-11,,,-1.2730000019073486,1.2730000019073486,-1.0,1.0,,,constv,1.0,1,1
sym,G3ESALTO,El Salto,WESALK,0.800000011920929,0.8999999761581421,1.000000013351432e-10,4.843220963168804e-11,,,-0.1120000034570694,0.4320000112056732,-1.0,1.0,,,constq,1.0,1,1
sym,G4LVEGA1,La Vega Grupo 1,,23.03499984741211,0.800000011920929,18.42799949645996,1.4306477308273315,53.99999968265803,4.291943073272543,-5.2980499267578125,5.2980499267578125,-1.0,1.0,,,constq,1.0,3,0
sym,G4LVEGA2,La Vega Grupo 2,,23.03499984741211,0.800000011920929,6.478000164031982,0.0,20.306306511916294,9.536489868182786,-5.2980499267578125,5.2980499267578125,-1.0,1.0,,,constv,1.0499999523162842,2,0
sym,G3HATILL,Hatillo 1,WHATIK,9.600000381469727,0.800000011920929,7.760000228881836,2.5505905151367188,7.679999961853065,4.665600442886354,-1.3440001010894775,5.184000492095947,-1.0,1.0,,,constv,1.0,1,0
sym,G3HATIL2,Hatillo 2,,11.664999961853027,0.8999999761581421,1.000000013351432e-10,6.00007751816456e-11,,,-5.0159502029418945,5.0159502029418945,-1.0,1.0,,,constq,1.0,1,1
sym,G3JIMENO,Jimenoa,WJIMEK,10.5,0.8399999737739563,5.820000171661377,0.0,8.000000024409937,1.2732278995011956,-1.4700000286102295,5.127150058746338,-1.0,1.0,,,constv,1.0,1,0
sym,G3RJCRUZ,Rosa Julia De La Cruz,WRJCRK,1.0,0.8999999761581421,1.000000013351432e-10,3.2868412852549156e-11,,,-0.25,0.39500001072883606,-1.0,1.0,,,constq,1.0,1,1
sym,G3PINAL1,Pinalito 1,WPIN1K,30.1200008392334,0.8500000238418579,1.000000013351432e-10,5.933650792933065e-11,,,-15.662400245666504,15.662400245666504,-1.0,1.0,,,constv,1.0490000247955322,1,1
sym,G3PINAL2,Pinalito 2,WPIN2K,30.1200008392334,0.8500000238418579,24.25,14.550185203552246,24.999999719220128,6.921031848373415,-15.662400245666504,15.662400245666504,-1.0,1.0,,,constv,1.0490000247955322,1,0
sym,G3RINCON,Rincón,WRINCK,12.625,0.800000011920929,1.000000013351432e-10,6.00007751816456e-11,,,-1.7675000429153442,6.817500114440918,-1.0,1.0,,,constv,1.0,1,1
sym,G3RBLAN1,Río Blanco 1,WRBLAK,15.0,0.8500000238418579,1.000000013351432e-10,5.933650792933065e-11,,,-2.0999999046325684,8.100000381469727,-1.0,1.0,,,constv,1.0490000247955322,1,1
sym,G3RBLAN2,Río Blanco 2,WRBLCK,15.0,0.8500000238418579,12.130000114440918,7.278094291687012,8.500000491738412,7.290000343322833,-2.0999999046325684,8.100000381469727,-1.0,1.0,,,constv,1.0490000247955322,1,0
genstat,G3MPSOLA,Monte Plata Solar,,60.0,1.0,0.0,0.0,,,-39.77143096923828,39.77143096923828,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constv,1.0499999523162842,1,1
genstat,G7EMAR31,SA 1 EDM3,WEM31K,2.5,1.0,1.000000013351432e-10,0.0,,,-2.5,2.5,-1.0,1.0,BESS CC,0,constq,1.0,1,1
genstat,G7EMAR32,SA 2 EDM3,WEM32K,2.5,1.0,1.000000013351432e-10,0.0,,,-2.5,2.5,-1.0,1.0,BESS CC,0,constq,1.0,1,1
genstat,G3PFMARA,PF Maranatha,WMARAK,5.0,1.0,0.0,0.0,,,-3.3142857551574707,3.3142857551574707,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constq,1.0,2,1
genstat,G3PFMART,PF Martí,WMARTK,5.375,1.0,0.0,0.0,,,-3.5628573894500732,3.5628573894500732,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constq,1.0,8,1
genstat,G3PFMPAL,Mata de Palma Solar,WMPALK,2.375,1.0,0.0,0.0,,,-4.75,4.75,-2.0,2.0,,,constq,1.0,21,1
genstat,G4PFCOA1,PF Coastal G1,WCOA1K,8.461999893188477,1.0,0.0,0.0,,,-5.609097480773926,5.609097480773926,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constq,1.0,7,1
genstat,G4PFCOA2,PF Coastal G2,WCOA2K,8.461999893188477,1.0,0.0,0.0,,,-5.609097480773926,5.609097480773926,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constq,1.0,6,1
genstat,G3PFCOT1,PF Cotoperí 1,WCSO1K,6.007500171661377,1.0,0.0,0.0,,,-3.982114553451538,3.982114553451538,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constq,1.0,8,1
genstat,G3PFCOT2,PF Cotoperí 2,WCSO2K,6.007500171661377,1.0,0.0,0.0,,,-3.982114553451538,3.982114553451538,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constq,1.0,8,1
genstat,G3PFCOT3,PF Cotoperí 3,WCSO3K,6.007500171661377,1.0,0.0,0.0,,,-3.982114553451538,3.982114553451538,-0.662857174873352,0.662857174873352,Huawei_Capability_Curve,0,constq,1.0,8,1
genstat,G3PFCUM1,PF Cumayasa 1,WXCU1K,5.559999942779541,1.0,0.0,0.0,,,-3.7066667079925537,3.7066667079925537,-0.6666666865348816,0.6666666865348816,,,constq,1.0,9,1
genstat,G3PFCUM2,PF Cumayasa 2,WXCU2K,6.0,1.0,0.0,0.0,,,-6.0,6.0,-1.0,1.0,PQ_Capability_Curve _HEMK,0,constq,1.0,5,1
genstat,G4PFCUM4,PF Cumayasa 4,WXCU4K,6.25,1.0,0.0,0.0,,,-4.125,4.125,-0.6600000262260437,0.6600000262260437,,,constq,1.0,8,1
genstat,G3ESOCO,El Soco,WXESOK,4.769999980926514,1.0,0.0,0.0,,,-4.769999980926514,4.769999980926514,-1.0,1.0,,,constq,1.0,11,1
genstat,G3PEACLA,Agua Clara,WACLAK,2.0999999046325684,1.0,0.12399999797344208,0.0,3.099999949336058,7.771561172376096e-16,-2.0999999046325684,2.0999999046325684,-1.0,1.0,SG114 - 2.1MW - V3.4 - CAPABILITY,0,constq,1.0,25,0
genstat,G3PSESPE,PS Esperanza,WXPS1K,4.389999866485596,0.9599999785423279,0.0,0.0,,,-8.0649995803833,8.0649995803833,-1.837129831314087,1.837129831314087,PQ_Capability_Curve _HEMK,0,constq,1.0,18,1
genstat,G3PEGUAN,Guanillo,WGNLLK,2.2100000381469727,0.949999988079071,0.35679998993873596,0.0,8.919999748468415,2.220446049250313e-15,-2.2100000381469727,2.2100000381469727,-1.0,1.0,Requerimiento Regulación de Tensión,0,constq,1.0,25,0
